epoch,iso_ts,status,started_at,oom_killed,restart_count,mem_used_mib,mem_limit_mib,mem_pct
1787783837,2026-08-26T22:37:17Z,running,2026-08-26T22:33:54.919492191Z,false,0,167.8,2048.0,8.19%
1787783843,2026-08-26T22:37:23Z,running,2026-08-26T22:33:54.919492191Z,false,0,168.1,2048.0,8.21%
1787783849,2026-08-26T22:37:29Z,running,2026-08-26T22:37:25.601864382Z,false,0,74.3,2048.0,3.63%
1787783855,2026-08-26T22:37:35Z,running,2026-08-26T22:37:25.601864382Z,false,0,74.0,2048.0,3.62%
1787783861,2026-08-26T22:37:41Z,running,2026-08-26T22:37:25.601864382Z,false,0,74.5,2048.0,3.64%
1787783867,2026-08-26T22:37:47Z,running,2026-08-26T22:37:25.601864382Z,false,0,74.5,2048.0,3.64%
1787783874,2026-08-26T22:37:54Z,running,2026-08-26T22:37:25.601864382Z,false,0,75.4,2048.0,3.68%
1787783880,2026-08-26T22:38:00Z,running,2026-08-26T22:37:25.601864382Z,false,0,78.5,2048.0,3.83%
1787783886,2026-08-26T22:38:06Z,running,2026-08-26T22:37:25.601864382Z,false,0,78.3,2048.0,3.83%
1787783892,2026-08-26T22:38:12Z,running,2026-08-26T22:37:25.601864382Z,false,0,78.6,2048.0,3.84%
1787783898,2026-08-26T22:38:18Z,running,2026-08-26T22:37:25.601864382Z,false,0,78.4,2048.0,3.83%
1787783904,2026-08-26T22:38:24Z,running,2026-08-26T22:37:25.601864382Z,false,0,82.0,2048.0,4.00%
1787783910,2026-08-26T22:38:30Z,running,2026-08-26T22:37:25.601864382Z,false,0,82.0,2048.0,4.01%
1787783917,2026-08-26T22:38:37Z,running,2026-08-26T22:37:25.601864382Z,false,0,82.1,2048.0,4.01%
1787783923,2026-08-26T22:38:43Z,running,2026-08-26T22:37:25.601864382Z,false,0,82.4,2048.0,4.02%
1787783929,2026-08-26T22:38:49Z,running,2026-08-26T22:37:25.601864382Z,false,0,83.6,2048.0,4.08%
1787783935,2026-08-26T22:38:55Z,running,2026-08-26T22:37:25.601864382Z,false,0,82.3,2048.0,4.02%
1787783941,2026-08-26T22:39:01Z,running,2026-08-26T22:37:25.601864382Z,false,0,85.5,2048.0,4.18%
1787783947,2026-08-26T22:39:07Z,running,2026-08-26T22:37:25.601864382Z,false,0,84.6,2048.0,4.13%
1787783953,2026-08-26T22:39:13Z,running,2026-08-26T22:37:25.601864382Z,false,0,84.7,2048.0,4.13%
1787783959,2026-08-26T22:39:19Z,running,2026-08-26T22:37:25.601864382Z,false,0,85.5,2048.0,4.17%
1787783966,2026-08-26T22:39:26Z,running,2026-08-26T22:37:25.601864382Z,false,0,84.8,2048.0,4.14%
1787783972,2026-08-26T22:39:32Z,running,2026-08-26T22:37:25.601864382Z,false,0,85.6,2048.0,4.18%
1787783978,2026-08-26T22:39:38Z,running,2026-08-26T22:37:25.601864382Z,false,0,85.6,2048.0,4.18%
1787783984,2026-08-26T22:39:44Z,running,2026-08-26T22:37:25.601864382Z,false,0,85.9,2048.0,4.19%
1787783990,2026-08-26T22:39:50Z,running,2026-08-26T22:37:25.601864382Z,false,0,88.0,2048.0,4.29%
1787783996,2026-08-26T22:39:56Z,running,2026-08-26T22:37:25.601864382Z,false,0,87.5,2048.0,4.27%
