epoch,iso_ts,status,started_at,oom_killed,restart_count,mem_used_mib,mem_limit_mib,mem_pct
1787853304,2026-08-27T17:55:04Z,running,2026-08-27T16:14:23.175547709Z,false,0,327.4,2048.0,15.98%
1787853310,2026-08-27T17:55:10Z,running,2026-08-27T17:55:08.079334341Z,false,0,269.0,2048.0,13.13%
1787853316,2026-08-27T17:55:16Z,running,2026-08-27T17:55:08.079334341Z,false,0,289.9,2048.0,14.16%
1787853323,2026-08-27T17:55:23Z,running,2026-08-27T17:55:08.079334341Z,false,0,268.1,2048.0,13.09%
1787853329,2026-08-27T17:55:29Z,running,2026-08-27T17:55:08.079334341Z,false,0,268.9,2048.0,13.13%
1787853335,2026-08-27T17:55:35Z,running,2026-08-27T17:55:08.079334341Z,false,0,249.7,2048.0,12.19%
1787853341,2026-08-27T17:55:41Z,running,2026-08-27T17:55:08.079334341Z,false,0,249.5,2048.0,12.18%
1787853347,2026-08-27T17:55:47Z,running,2026-08-27T17:55:08.079334341Z,false,0,245.8,2048.0,12.00%
1787853353,2026-08-27T17:55:53Z,running,2026-08-27T17:55:08.079334341Z,false,0,246.2,2048.0,12.02%
1787853359,2026-08-27T17:55:59Z,running,2026-08-27T17:55:08.079334341Z,false,0,246.5,2048.0,12.04%
1787853366,2026-08-27T17:56:06Z,running,2026-08-27T17:55:08.079334341Z,false,0,246.3,2048.0,12.03%
